system:index,area,index,name,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F101992_51,1055811.1093687245,F101992,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F101993_51,1103700.0386282539,F101993,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F101994_51,1310483.4971992169,F101994,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121994_51,1499109.355924811,F121994,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121995_51,1622707.4376320902,F121995,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121996_51,1683747.3897297806,F121996,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121997_51,1862343.2456906007,F121997,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121998_51,1864998.1362867055,F121998,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F121999_51,1958170.1104397543,F121999,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F141997_51,1640604.6723491997,F141997,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F141998_51,1852945.1815110873,F141998,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F141999_51,2014342.1310033936,F141999,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F142000_51,1918266.052164939,F142000,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F142001_51,2088996.5238390074,F142001,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F142002_51,2184260.581461954,F142002,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F142003_51,2343527.9650297198,F142003,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_F152000_51,1993795.5623679757,F152000,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_1_2_F152001_51,2062236.8769899881,F152001,Egypt,
1_1_1_1_1_1_1_1_1_1_1_1_2_F152002_51,2208141.104304314,F152002,Egypt,
1_1_1_1_1_1_1_1_1_1_1_2_F152003_51,2406375.748722701,F152003,Egypt,
1_1_1_1_1_1_1_1_1_1_2_F152004_51,2679672.4390013907,F152004,Egypt,
1_1_1_1_1_1_1_1_1_2_F152005_51,2909771.0629947,F152005,Egypt,
1_1_1_1_1_1_1_1_2_F152006_51,2807214.531454918,F152006,Egypt,
1_1_1_1_1_1_1_2_F152007_51,2928554.4304403737,F152007,Egypt,
1_1_1_1_1_1_2_F162004_51,2561846.8592860624,F162004,Egypt,
1_1_1_1_1_2_F162005_51,2776629.3506577574,F162005,Egypt,
1_1_1_1_2_F162006_51,2980870.8951445892,F162006,Egypt,
1_1_1_2_F162007_51,3063947.7884852467,F162007,Egypt,
1_1_2_F162008_51,3228340.9167654915,F162008,Egypt,
1_2_F162009_51,3167294.917855525,F162009,Egypt,
2_F182010_51,3177249.1805658443,F182010,Egypt,
